Amp, Phaseshift, Time, Vd, Vr, VL, VC
0.405435,372.09,3.9542e-005,-1.60748,1.04475,-5.59258,3.2297
0.405435,372.09,3.96947e-005,-1.76336,0.998665,-6.03781,3.54871
0.405435,372.09,3.98473e-005,-1.91227,0.949355,-6.45965,3.85364
0.405435,372.09,4e-005,-2.05364,0.897014,-6.85664,4.14352
0.405435,372.09,4.01527e-005,-2.18691,0.841842,-7.22744,4.41742
0.405435,372.09,4.03053e-005,-2.31154,0.78405,-7.5708,4.67447
0.405435,372.09,4.0458e-005,-2.42705,0.723855,-7.88557,4.91388
0.405435,372.09,4.06107e-005,-2.53298,0.661483,-8.17072,5.1349
0.405435,372.09,4.07634e-005,-2.62892,0.597168,-8.4253,5.33688
0.405435,372.09,4.0916e-005,-2.71448,0.531148,-8.64853,5.51922
0.405435,372.09,4.10687e-005,-2.78933,0.46367,-8.8397,5.6814
0.405435,372.09,4.12214e-005,-2.85317,0.394981,-8.99824,5.82298
0.405435,372.09,4.1374e-005,-2.90575,0.325334,-9.12371,5.94359
0.405435,372.09,4.15267e-005,-2.94686,0.254985,-9.21578,6.04293
0.405435,372.09,4.16794e-005,-2.97634,0.184189,-9.27426,6.12078
0.405435,372.09,4.18321e-005,-2.99408,0.113204,-9.29905,6.17703
0.405435,372.09,4.19847e-005,-3,0.0422859,-9.29023,6.21159
0.405435,372.09,4.21374e-005,-2.99408,-0.0283092,-9.24796,6.2245
0.405435,372.09,4.22901e-005,-2.97634,-0.0983286,-9.17254,6.21586
0.405435,372.09,4.24427e-005,-2.94686,-0.167522,-9.06439,6.18584
0.405435,372.09,4.25954e-005,-2.90575,-0.235645,-8.92406,6.13468
0.405435,372.09,4.27481e-005,-2.85317,-0.302456,-8.75221,6.06273
0.405435,372.09,4.29008e-005,-2.78933,-0.36772,-8.5496,5.97038
0.405435,372.09,4.30534e-005,-2.71448,-0.43121,-8.31714,5.8581
0.405435,372.09,4.32061e-005,-2.62892,-0.492704,-8.05581,5.72643
0.405435,372.09,4.33588e-005,-2.53298,-0.551992,-7.76671,5.57599
0.405435,372.09,4.35115e-005,-2.42705,-0.60887,-7.45104,5.40744
0.405435,372.09,4.36641e-005,-2.31154,-0.663146,-7.11011,5.22152
0.405435,372.09,4.38168e-005,-2.18691,-0.714637,-6.74528,5.01904
0.405435,372.09,4.39695e-005,-2.05364,-0.763171,-6.35804,4.80083
